,primary_fuel,state,county,postcode
684,Gas,New York,,11691.0
685,Gas,Texas,Chambers County,77520.0
686,Oil,Virginia,Northampton County,23310.0
687,Oil,New Jersey,Ocean County,8721.0
688,Cogeneration,New Jersey,Union County,7206.0
689,Solar,Maryland,Queen Anne's County,21617.0
690,Storage,California,CAL Fire Kern County,
691,Solar,California,Kern County,
692,Solar,California,CAL Fire Kern County,
693,Hydro,California,Shasta County,
694,Hydro,North Carolina,Jackson County,28783.0
695,Solar,North Carolina,Chatham County,27207.0
696,Solar,California,San Joaquin County,95237.0
697,Solar,Oregon,Deschutes County,97701.0
698,Gas,Virginia,Buckingham County,23123.0
699,Gas,California,Kern County,93306.0
700,Hydro,Massachusetts,Franklin County,1343.0
701,Hydro,California,San Diego County,92027.0
702,Gas,California,CAL Fire San Bernardino Unit,92315.0
703,Solar,North Carolina,Vance County,
704,Hydro,New York,Herkimer County,
705,Hydro,California,Tuolumne County,
706,Solar,North Carolina,Pender County,28478.0
707,Solar,North Carolina,Pender County,28406.0
708,Wind,Texas,Glasscock County,79739.0
709,Gas,Nebraska,Gage County,
710,Solar,North Carolina,Beaufort County,
711,Oil,Michigan,Wayne County,48124.0
712,Gas,Oregon,Columbia County,
713,Gas,Nebraska,Furnas County,68926.0
714,Gas,Wyoming,Fremont County,
715,Wind,Iowa,Boone County,50064.0
716,Gas,Pennsylvania,Bradford County,17735.0
717,Hydro,Arkansas,Carroll County,72631.0
718,Hydro,Alaska,Ketchikan Gateway,
719,Oil,Michigan,Charlevoix County,49782.0
720,Wind,Maine,Waldo County,4941.0
721,Solar,New Jersey,Sussex County,7848.0
722,Solar,Pennsylvania,Beaver County,15009.0
723,Nuclear,Pennsylvania,Beaver County,15077.0
724,Hydro,Pennsylvania,Beaver County,15010.0
725,Solar,Minnesota,Wright County,55376.0
726,Solar,Minnesota,Wright County,55376.0
727,Solar,Minnesota,Wright County,55376.0
728,Solar,Minnesota,Wright County,55376.0
729,Solar,Minnesota,Wright County,55376.0
730,Solar,Connecticut,Northwest Hills COG,6018.0
731,Solar,New Jersey,Middlesex County,7064.0
732,Solar,Virginia,Bedford County,24523.0
733,Wind,Michigan,Gratiot County,48847.0
734,Wind,Michigan,Gratiot County,48847.0
735,Storage,Massachusetts,Middlesex County,1880.0
736,Hydro,New York,Jefferson County,13601.0
737,Wind,West Virginia,Greenbrier County,
738,Storage,West Virginia,Greenbrier County,
739,Waste,Illinois,Will County,60401.0
740,Wind,South Dakota,Bon Homme County,
741,Solar,North Carolina,Cleveland County,28114.0
742,Solar,Massachusetts,Hampshire County,1007.0
743,Solar,Massachusetts,Hampshire County,
744,Hydro,California,Plumas County,95915.0
745,Hydro,Vermont,Addison County,5753.0
746,Coal,North Carolina,Stokes County,27042.0
747,Hydro,New York,Lewis County,13327.0
748,Solar,South Carolina,Horry County,29577.0
749,Oil,Virginia,Accomack County,23420.0
750,Coal,Michigan,Saint Clair County,48054.0
751,Oil,Alabama,Jackson County,35752.0
752,Oil,Kansas,Republic County,66935.0
753,Hydro,West Virginia,Jackson County,26133.0
754,Oil,Iowa,Jackson County,52031.0
755,Solar,Oregon,Yamhill County,97101.0
756,Gas,Massachusetts,Norfolk County,2019.0
757,Solar,Massachusetts,Worcester County,1516.0
758,Hydro,Vermont,Windham County,5101.0
759,Solar,Indiana,Marion County,46225.0
760,Oil,Kansas,Mitchell County,67420.0
761,Gas,Wisconsin,Rock County,53511.0
762,Gas,Alaska,Kenai Peninsula,99682.0
763,Solar,North Carolina,Cleveland County,28090.0
764,Gas,South Dakota,Pennington County,57702.0
765,Hydro,Oregon,Deschutes County,97702.0
766,Solar,New Jersey,Morris County,7836.0
767,Solar,New York,Ontario County,14564.0
768,Wind,Idaho,Elmore County,
769,Gas,Idaho,Elmore County,83647.0
770,Hydro,New York,Oswego County,13302.0
771,Oil,Minnesota,Swift County,56215.0
772,Wind,Oregon,Baker County,
773,Wind,Minnesota,Freeborn County,
774,Solar,North Carolina,Hertford County,27855.0
775,Wind,Indiana,Benton County,47942.0
776,Hydro,Maine,Kennebec County,4901.0
777,Solar,Minnesota,Carver County,55368.0
778,Geothermal,Nevada,Lander County,
779,Gas,New Jersey,Bergen County,7657.0
780,Solar,New Jersey,Bergen County,7446.0
781,Solar,California,Napa County,94574.0
782,Waste,South Carolina,Berkeley County,29461.0
783,Solar,Massachusetts,Bristol County,2779.0
784,Solar,Massachusetts,Berkshire County,1258.0
785,Gas,Massachusetts,Hampden County,1001.0
786,Wind,Massachusetts,Berkshire County,
787,Oil,Maryland,Worcester County,21811.0
788,Oil,Vermont,Washington County,5602.0
789,Hydro,New Hampshire,Coos County,3581.0
790,Waste,Wisconsin,Green Lake County,54293.0
791,Solar,New Jersey,Somerset County,7924.0
792,Solar,North Carolina,Caldwell County,28645.0
793,Gas,Alaska,Kenai Peninsula,99611.0
794,Hydro,Michigan,Berrien County,49103.0
795,Gas,California,Kern County,93268.0
796,Gas,California,Kern County,
797,Gas,California,Kern County,93251.0
798,Gas,California,Los Angeles County,91321.0
799,Solar,New Jersey,Warren County,8865.0
800,Solar,Utah,Iron County,84714.0
801,Solar,Minnesota,Goodhue County,55027.0
802,Oil,Alaska,Unorganized Borough,
803,Solar,North Carolina,Pitt County,27812.0
804,Solar,North Carolina,Pitt County,27812.0
805,Wind,Texas,Castro County,
806,Solar,New York,Albany County,12158.0
807,Solar,New York,Albany County,12158.0
808,Gas,New York,Albany County,12077.0
809,Gas,Pennsylvania,Northampton County,18016.0
810,Solar,New York,Albany County,12054.0
811,Gas,New York,Nassau County,11714.0
812,Solar,North Carolina,Duplin County,28518.0
813,Solar,Massachusetts,Essex County,1984.0
814,Waste,Tennessee,Montgomery County,37191.0
815,Solar,Georgia,Bibb County,31208.0
816,Hydro,California,Shasta County,
817,Coal,Florida,Hillsborough County,33572.0
818,Hydro,South Dakota,Lyman County,57339.0
819,Wind,Minnesota,Faribault County,56013.0
820,Gas,Louisiana,Pointe Coupee Parish,
821,Coal,Louisiana,Pointe Coupee Parish,
822,Hydro,Oregon,Marion County,
823,Hydro,California,Fresno County,93605.0
824,Hydro,California,Fresno County,
825,Hydro,California,Fresno County,
826,Hydro,California,Fresno County,
827,Hydro,California,Madera County,
828,Hydro,California,Fresno County,
829,Hydro,California,Trinity County,96046.0
830,Hydro,Wisconsin,Rusk County,
831,Hydro,Montana,Flathead County,
832,Solar,Massachusetts,Plymouth County,2345.0
833,Wind,Washington,Klickitat County,
834,Wind,Washington,Klickitat County,
835,Solar,Minnesota,Sherburne County,55039.0
836,Solar,Minnesota,Sherburne County,55309.0
837,Wind,Pennsylvania,Potter County,
838,Hydro,California,Inyo County,92513.0
839,Hydro,Michigan,Dickinson County,49802.0
840,Hydro,Michigan,Dickinson County,49802.0
841,Gas,Wyoming,Fremont County,
842,Gas,Kentucky,Lawrence County,
843,Gas,West Virginia,Wayne County,25507.0
844,Biomass,Idaho,Gooding County,83330.0
845,Wind,Illinois,Lee County,61349.0
846,Wind,Texas,Howard County,
847,Coal,South Dakota,Grant County,57216.0
848,Hydro,Colorado,Larimer County,
849,Wind,Montana,Sweet Grass County,
850,Wind,Oregon,Morrow County,
851,Wind,Michigan,Huron County,48441.0
852,Waste,California,Lassen County,96009.0
853,Wind,Oregon,Sherman County,
854,Solar,North Carolina,Buncombe County,28806.0
855,Wind,Maine,Somerset County,4920.0
856,Gas,New York,Broome County,13905.0
857,Biomass,Indiana,White County,47980.0
858,Gas,California,Los Angeles County,90639.0
859,Waste,Oregon,Jackson County,97503.0
860,Waste,Hawaii,Kauaʻi County,
861,Oil,Washington,Whitman County,99164.0
862,Wind,Iowa,Taylor County,50833.0
863,Hydro,Idaho,Clark County,
864,Coal,Virginia,King George County,
865,Oil,Kansas,Cheyenne County,67731.0
866,Solar,Massachusetts,Norfolk County,2071.0
867,Gas,Pennsylvania,Berks County,19508.0
868,Hydro,Wisconsin,Wood County,54475.0
869,Coal,Wisconsin,Wood County,54475.0
870,Solar,North Carolina,Montgomery County,27247.0
871,Hydro,California,Inyo County,
872,Hydro,California,CAL Fire San Bernardino Unit,93514.0
873,Hydro,California,Inyo County,
874,Hydro,California,Inyo County,
875,Hydro,California,Inyo County,
876,Wind,Illinois,Henry County,61238.0
877,Wind,Illinois,Henry County,61238.0
878,Wind,Illinois,Henry County,61490.0
879,Wind,North Dakota,Morton County,
880,Wind,North Dakota,Morton County,
881,Wind,North Dakota,Morton County,
882,Wind,North Dakota,Morton County,
883,Solar,Colorado,Larimer County,
884,Wind,Minnesota,Pipestone County,56164.0
885,Solar,North Carolina,Johnston County,27555.0
886,Solar,North Carolina,Johnston County,27576.0
887,Hydro,Alaska,Unorganized Borough,99921.0
888,Hydro,California,Tehama County,
889,Hydro,Idaho,Gem County,83617.0
890,Solar,Oregon,Lake County,97630.0
891,Hydro,Washington,King County,
892,Gas,Minnesota,Dakota County,55425.0
893,Hydro,Montana,Cascade County,59414.0
894,Solar,Montana,Cascade County,59414.0
895,Gas,Texas,Hutchinson County,79007.0
896,Gas,Arizona,Mohave County,86414.0
897,Solar,Arizona,Mohave County,86414.0
898,Waste,Missouri,Wright County,65667.0
899,Wind,Minnesota,Stearns County,56378.0
