,State,Year,CO2 Emissions (Million Metric Tons),Sector Name
223,AL,2014,1.933392,Commercial carbon dioxide emissions
224,AL,2014,31.337415,Transportation carbon dioxide emissions
225,AL,2014,2.430833,Residential carbon dioxide emissions
226,AL,2014,21.383956,Industrial carbon dioxide emissions
227,AL,2014,65.546672,Electric Power carbon dioxide emissions
228,AL,2013,1.836465,Commercial carbon dioxide emissions
229,AL,2013,120.463436,Total carbon dioxide emissions from all sectors
230,AL,2013,31.38794,Transportation carbon dioxide emissions
231,AL,2013,2.191387,Residential carbon dioxide emissions
232,AL,2013,20.31297,Industrial carbon dioxide emissions
233,AL,2013,64.734674,Electric Power carbon dioxide emissions
234,AL,2012,122.631371,Total carbon dioxide emissions from all sectors
235,AL,2012,1.786784,Commercial carbon dioxide emissions
236,AL,2012,31.862837,Transportation carbon dioxide emissions
237,AL,2012,66.991328,Electric Power carbon dioxide emissions
238,AL,2012,20.230247,Industrial carbon dioxide emissions
239,AL,2012,1.760175,Residential carbon dioxide emissions
240,AL,2011,2.057701,Commercial carbon dioxide emissions
241,AL,2011,129.546189,Total carbon dioxide emissions from all sectors
242,AL,2011,32.333152,Transportation carbon dioxide emissions
243,AL,2011,2.353232,Residential carbon dioxide emissions
244,AL,2011,18.191587,Industrial carbon dioxide emissions
245,AL,2011,74.610516,Electric Power carbon dioxide emissions
246,AL,2010,2.122168,Commercial carbon dioxide emissions
247,AL,2010,132.488047,Total carbon dioxide emissions from all sectors
248,AL,2010,17.81609,Industrial carbon dioxide emissions
249,AL,2010,2.869146,Residential carbon dioxide emissions
250,AL,2010,32.25621,Transportation carbon dioxide emissions
251,AL,2010,77.424433,Electric Power carbon dioxide emissions
252,AL,2009,16.43267,Industrial carbon dioxide emissions
253,AL,2009,2.501571,Residential carbon dioxide emissions
254,AL,2009,31.992539,Transportation carbon dioxide emissions
255,AL,2009,119.799631,Total carbon dioxide emissions from all sectors
256,AL,2009,1.897166,Commercial carbon dioxide emissions
257,AL,2009,66.975686,Electric Power carbon dioxide emissions
258,AL,2008,20.113264,Industrial carbon dioxide emissions
259,AL,2008,2.532807,Residential carbon dioxide emissions
260,AL,2008,32.89421,Transportation carbon dioxide emissions
261,AL,2008,139.359998,Total carbon dioxide emissions from all sectors
262,AL,2008,2.006381,Commercial carbon dioxide emissions
263,AL,2008,81.813337,Electric Power carbon dioxide emissions
264,AL,2007,1.989955,Commercial carbon dioxide emissions
265,AL,2007,147.287643,Total carbon dioxide emissions from all sectors
266,AL,2007,35.718097,Transportation carbon dioxide emissions
267,AL,2007,2.378064,Residential carbon dioxide emissions
268,AL,2007,20.49438,Industrial carbon dioxide emissions
269,AL,2007,86.707146,Electric Power carbon dioxide emissions
270,AL,2006,2.229908,Commercial carbon dioxide emissions
271,AL,2006,145.768722,Total carbon dioxide emissions from all sectors
272,AL,2006,35.448201,Transportation carbon dioxide emissions
273,AL,2006,2.509413,Residential carbon dioxide emissions
274,AL,2006,21.15005,Industrial carbon dioxide emissions
275,AL,2006,84.43115,Electric Power carbon dioxide emissions
276,AL,2005,1.851345,Commercial carbon dioxide emissions
277,AL,2005,143.532081,Total carbon dioxide emissions from all sectors
278,AL,2005,34.830093,Transportation carbon dioxide emissions
279,AL,2005,2.72393,Residential carbon dioxide emissions
280,AL,2005,21.837674,Industrial carbon dioxide emissions
