,County,num_solar,num_gas,num_oil,num_hydro,num_wind,num_coal,num_biomass,num_storage,num_cogeneration,num_geothermal,num_petcoke,num_nuclear,num_other
295,"Attala County, Mississippi",0,1,0,0,0,0,0,0,0,0,0,0,0
296,"Kandiyohi County, Minnesota",5,1,2,0,0,0,0,0,0,0,0,0,0
297,"Nemaha County, Nebraska",0,1,0,0,0,0,0,0,0,0,0,1,0
298,"Cayuga County, New York",2,1,0,1,0,0,0,0,0,0,0,0,0
299,"Audrain County, Missouri",0,2,1,0,0,0,0,0,0,0,0,0,0
300,"Defiance County, Ohio",0,1,0,1,0,0,0,0,0,0,0,0,0
301,"Ringgold County, Iowa",0,0,0,0,1,0,0,0,0,0,0,0,0
302,"Butler County, Kansas",1,3,0,0,1,0,0,0,0,0,0,0,0
303,"Sussex County, New Jersey",6,0,0,0,0,0,0,0,0,0,0,0,0
304,"Pitt County, North Carolina",8,0,1,0,0,0,0,0,0,0,0,0,0
305,"Bertie County, North Carolina",7,0,0,0,0,0,0,0,0,0,0,0,0
306,"Murray County, Minnesota",3,0,0,0,7,0,0,0,0,0,0,0,0
307,"Aurora County, South Dakota",0,0,0,0,2,0,0,0,0,0,0,0,0
308,"Fairbanks North Star, Alaska",0,0,2,0,0,4,0,1,0,0,0,0,0
309,"Travis County, Texas",2,5,0,2,0,0,0,2,0,0,0,0,0
310,"Gaston County, North Carolina",4,0,5,2,0,1,0,0,0,0,0,0,0
311,"Ottawa County, Michigan",1,6,1,0,0,2,1,0,0,0,0,0,0
312,"Lincoln County, Minnesota",0,0,0,0,22,0,0,0,0,0,0,0,0
313,"Maui County, Hawaii",3,0,5,2,3,0,0,0,0,0,0,0,0
314,"Rockingham County, North Carolina",5,2,0,1,0,0,0,0,0,0,0,0,0
315,"Kings County, California",22,2,0,0,0,0,3,0,0,0,0,0,0
316,"Whiteside County, Illinois",0,0,2,1,0,0,0,0,0,0,0,0,0
317,"Lorain County, Ohio",1,2,1,0,0,1,0,0,0,0,0,0,0
318,"Highlands County, Florida",1,0,1,0,0,0,0,0,0,0,0,0,0
319,"Marshall County, West Virginia",0,1,0,0,0,1,0,0,0,0,0,0,0
320,"Iberville Parish, Louisiana",0,4,0,0,0,0,0,0,1,0,0,0,0
321,"Franklin County, Massachusetts",12,1,0,9,0,0,0,0,0,0,0,0,0
322,"Belknap County, New Hampshire",0,0,0,3,0,0,0,0,0,0,0,0,0
323,"Essex County, Massachusetts",13,5,1,1,3,0,0,0,0,0,0,0,0
324,"Oxford County, Maine",0,2,0,3,3,0,1,0,0,0,0,0,0
325,"Jackson County, Minnesota",0,0,1,0,14,0,0,0,0,0,0,0,0
326,"Hennepin County, Minnesota",3,3,0,2,0,0,0,0,0,0,0,0,0
327,"Benton County, Minnesota",6,0,0,1,0,0,0,0,0,0,0,0,0
328,"Union County, North Carolina",5,1,1,0,0,0,0,0,0,0,0,0,0
329,"Camden County, New Jersey",9,1,0,0,0,0,0,0,0,0,0,0,0
330,"Calhoun County, Texas",0,4,0,0,0,0,0,0,1,0,1,0,0
331,"Wyandotte County, Kansas",1,1,1,0,0,1,0,0,0,0,0,0,0
332,"Granville County, North Carolina",7,0,0,0,0,0,0,0,0,0,0,0,0
333,"Utah County, Utah",0,6,0,2,1,0,0,0,0,0,0,0,0
334,"Madison County, Idaho",0,1,0,0,0,0,0,0,0,0,0,0,0
335,"Charlotte County, Florida",1,0,0,0,0,0,0,0,0,0,0,0,0
336,"Galveston County, Texas",0,4,0,0,0,0,0,0,0,0,0,0,1
337,"Mitchell County, Georgia",2,2,0,0,0,0,0,0,0,0,0,0,0
